address,bathrooms,bedrooms,finishedsqft,lastsoldprice,neighborhood,totalrooms
Address: 3655 Noriega Street,2,4,1672,905000,Outer Sunset,7
Address: 1774 15th Avenue,2,3,2552,1200000,Golden Gate Heights,7
Address: 2351 Green Street,2.5,2,1768,1845000,Pacific Heights,6
Address: 2 Mercedes Way,3.5,6,4035,2350000,Ingleside Terrace,12
Address: 1819 Diamond Street,2.5,2,2464,1500000,Noe Valley,6
Address: 431 Ramsell Street,2,3,1384,491000,Merced Heights,6
Address: 501 Crescent Way #5209,2,3,1424,635500,Bayview,5
Address: 224 Bowdoin Street,1,2,1200,750000,Portola,5
Address: 8 Buchanan Street #304,1,1,652,800000,Hayes Valley,3
Address: 8 Buchanan Street #412,2,2,836,749000,Hayes Valley,3
Address: 8 Buchanan Street #515,1,2,1105,1081000,Hayes Valley,5
Address: 260 King Street #1215,1,1,920,765000,South of Market,3
Address: 166 29th Street #2,2,2,1180,885000,Bernal Heights,5
Address: 263 Madrid Street,1,2,1025,638000,Excelsior,5
Address: 327 Vienna Street,4,5,2829,1305000,Excelsior,13
Address: 527 Central Avenue #1,2,2,1450,875000,North Panhandle,4
Address: 130 Everson Street,1.5,2,1360,800000,Glen Park,5
Address: 300 Ivy Street #207,2,2,916,337500,Hayes Valley,4
Address: 8 Buchanan Street #200,2,2,884,849500,Hayes Valley,5
Address: 1160 Mission Street #1502,1,1,764,840000,South of Market,3
Address: 834 Arkansas Street #4,1,2,870,700000,Potrero Hill,4
Address: 650 Delancey Street #416,2,2,1300,1495000,South Beach,5
Address: 1155 Filbert Street #301,1,1,620,678000,Russian Hill,3
Address: 1865 California Street #3,2,3,1475,1550000,Van Ness - Civic Center,6
Address: 81 Minerva Street,5,6,3679,860000,Oceanview,11
Address: 456 Collingwood Street,1,1,1004,1100000,Eureka Valley - Dolores Heights - Castro,5
Address: 2579 29th Avenue,1,2,1370,985000,Parkside,5
Address: 718 16th Avenue,4,5,2975,920000,Central Richmond,9
Address: 813 47th Avenue #1,1,1,615,525000,Outer Richmond,3
Address: 5500 Anza Street,3,4,2789,990000,Outer Richmond,10
Address: 1829 24th Avenue,2,4,1919,1070000,Central Sunset,7
Address: 1879 14th Avenue,3.5,4,3013,1820000,Golden Gate Heights,11
Address: 780 Monterey Boulevard #201,1,2,813,600000,Westwood Highlands,4
Address: 62 Stanford Heights Avenue,2,3,1350,1150000,Miraloma Park,4
Address: 126 Byxbee Street,1,2,812,768000,Ingleside Heights,4
Address: 401 Crescent Court #4206,2,2,935,499000,Bayview,4
Address: 460 Brussels Street,1,2,1250,656000,Portola,5
Address: 1255 California Street #104,1,0,725,550000,Downtown,2
Address: 844 North Point Street,2,2,1419,1675000,Russian Hill,5
Address: 71 Bronte Street,1,2,1053,950000,Bernal Heights,5
Address: 217 Holly Park Circle,1,2,1950,1300000,Bernal Heights,8
Address: 1469 Dolores Street,1,2,1366,1305000,Noe Valley,6
Address: 735 Madrid Street,2,3,1625,915000,Excelsior,5
Address: 1805 Fillmore Street #205,1,1,610,640000,Lower Pacific Heights,4
Address: 2675 39th Avenue,1,2,1011,780000,Outer Parkside,4
Address: 3500 Broderick Street #211,2,2,977,1000000,Marina,5
Address: 1501 Greenwich Street #101,2,2,1048,1150000,Cow Hollow,4
Address: 14 MacOndray Lane #B,4,3,2588,3075000,Russian Hill,6
Address: 260 King Street #481,1,1,665,600000,South of Market,4
Address: 901 Powell Street #6,2,2,1562,1390000,Nob Hill,5
Address: 1440 Broadway #202,1,1,781,720000,Russian Hill,4
Address: 3125 Folsom Street,8,9,3786,2150000,Bernal Heights,16
Address: 243 Staples Avenue,1,2,960,610000,Sunnyside,5
Address: 2694 23rd Avenue,3,4,1329,1153000,Parkside,6
Address: 657 15th Avenue,2,4,2880,1127000,Central Richmond,12
Address: 563 6th Avenue,1,2,1454,1340000,Inner Richmond,6
Address: 1314 7th Avenue,2,3,1350,980000,Inner Sunset,6
Address: 378 Joost Avenue,1.5,2,936,990000,Sunnyside,4
Address: 425 1st Street #4407,1,1,819,1098000,South Beach,3
Address: 655 Corbett Avenue #407,1,1,673,630000,Twin Peaks,2
Address: 429 Noe Street,1,2,1396,1600000,Eureka Valley - Dolores Heights - Castro,6
Address: 775 Noe Street,2.5,3,2710,2900000,Eureka Valley - Dolores Heights - Castro,9
Address: 465 Hoffman Avenue,4.5,4,4400,5105000,Noe Valley,8
Address: 2714 Pacific Avenue,4.5,4,3725,7400000,Pacific Heights,9
Address: 1761 Hayes Street,1,2,1320,1051500,North Panhandle,6
Address: 420 Stanyan Street #4,2,3,1361,1130000,North Panhandle,6
Address: 205 Carl Street,2.5,3,1553,1650000,Haight-Ashbury,8
Address: 801 Newhall Street,2.25,3,1450,718000,Bayview,6
Address: 83 Madrone Avenue,5,4,2680,1799000,West Portal,7
Address: 514 Goettingen Street,2,3,1675,656500,Portola,5
Address: 1488 Harrison Street #201,2,1,1106,755000,South of Market,2
Address: 2174 48th Avenue,2,3,1169,660000,Outer Parkside,8
Address: 3233 Jackson Street #1,4,3,3356,4200000,Presidio Heights,8
Address: 7321 Geary Boulevard,6,9,4433,2030000,Outer Richmond,18
Address: 956 Goettingen Street,1,3,836,630000,Visitacion Valley,5
Address: 1160 Mission Street #1607,2,2,1043,920000,South of Market,4
Address: 201 Harrison Street #1124,1,0,432,448000,South Beach,1
Address: 88 King Street #1020,2,2,1165,1495000,South Beach,4
Address: 3452 18th Street,1,1,750,805000,Mission,5
Address: 152 Santa Marina Street,1,2,784,925000,Bernal Heights,4
Address: 3119 Alemany Boulevard,1,2,728,415000,Outer Mission,4
Address: 166 Castro Street,2,2,1583,1260000,Corona Heights,6
Address: 2436 Jackson Street #3,1,2,795,781000,Pacific Heights,2
Address: 1733 Scott Street #2,2,2,1488,1410000,Lower Pacific Heights,4
Address: 985 Clayton Street,2,4,2300,2500000,Parnassus - Ashbury,10
Address: 371 6th Avenue,3,2,2269,1600000,Inner Richmond,7
Address: 228 17th Avenue,1,2,1144,920000,Central Richmond,5
Address: 1124 Fitzgerald Avenue,1,2,900,525000,Bayview,4
Address: 130 Mateo Street,1,3,1974,1320000,Glen Park,6
Address: 996 Union Street,1.5,2,1349,1099000,Russian Hill,6
Address: 120 Ankeny Street,1,3,1100,485500,Visitacion Valley,6
Address: 18 Adair Street,1,1,2192,577500,Mission,8
Address: 1150 Folsom Street It1,2,2,1654,1000000,South of Market,5
Address: 425 1st Street #4107,1,1,819,1050000,South Beach,3
Address: 573 Missouri Street,1,2,1366,785000,Potrero Hill,5
Address: 219 Brannan Street #6C,1.5,1,899,929000,South Beach,3
Address: 1379 Kansas Street,2,3,1390,960000,Potrero Hill,8
Address: 700 Illinois Street,2.5,3,1900,5500000,Central Waterfront - Dogpatch,12
Address: 723 Taylor Street #601,1,1,677,711000,Downtown,3
Address: 836 Alvarado Street,3.5,4,3280,3400000,Noe Valley,9
Address: 1923 45th Avenue,2,3,1600,940000,Outer Parkside,9
Address: 2318 25th Avenue,2,3,1600,960000,Parkside,6
Address: 111 2nd Avenue,3.5,3,2187,2200000,Lake,6
Address: 1351 Quesada Avenue,1,3,844,380000,Bayview,4
Address: 141 San Pablo Avenue,2,3,2900,2330000,St. Francis Wood,6
Address: 375 28th Street,2,3,1647,2070000,Noe Valley,5
Address: 140 Broadmoor Drive,3,4,2270,1407000,Lakeside,8
Address: 300 Ivy Street #213,1,1,677,237500,Hayes Valley,3
Address: 475 Tehama Street #203,1,1,618,539000,South of Market,3
Address: 246 2nd Street #1101,1,1,668,685000,Yerba Buena,3
Address: 355 Bryant Street #205,1,1,1225,600000,South Beach,4
Address: 1885 Jackson Street #402,2,2,900,850000,Pacific Heights,4
Address: 101 Lombard Street #906W,2,2,1854,660000,Telegraph Hill,6
Address: 448 Madrid Street,1,1,1060,400000,Excelsior,4
Address: 5511 Mission Street #5513,2,3,1334,790000,Crocker Amazon,6
Address: 1310 Fillmore Street #408,1,1,800,619000,Western Addition,4
Address: 1859 Scott Street,3,4,2575,2100000,Lower Pacific Heights,7
Address: 1704 Fulton Street,1,2,1072,850000,North Panhandle,5
Address: 3430 Baker Street,4,5,2830,4500000,Marina,8
Address: 445 Dellbrook Avenue,1,0,1127,850000,Midtown Terrace,7
Address: 383 Lombard Street #404,2,2,977,1150000,Telegraph Hill,4
Address: 601 Van Ness Avenue #647,1,1,621,460000,Van Ness - Civic Center,2
Address: 40 Elgin Park,2,6,1780,1100000,Mission,5
Address: 425 1st Street #2001,1,1,837,970000,South Beach,3
Address: 622 Connecticut Street,4,7,3700,1479000,Potrero Hill,12
Address: 1429 Jackson Street,2.5,3,1800,2300000,Nob Hill,8
Address: 668 Elizabeth Street,1,2,1684,1475000,Noe Valley,6
Address: 3028 Washington Street,2,4,2725,4950000,Pacific Heights,8
Address: 63 Delmar Street,1,2,1040,975000,Haight-Ashbury,5
Address: 79 Divisadero Street,3.5,4,1845,3360000,Buena Vista Park,8
Address: 6050 Geary Boulevard #401,1,1,938,700000,Central Richmond,5
Address: 634 27th Avenue,1,3,2090,1084000,Central Richmond,7
Address: 1691 31st Avenue,3,5,2000,950000,Central Sunset,8
Address: 2956 Webster Street,2,2,1310,1400000,Cow Hollow,6
Address: 43 Whitney Street,3,5,2040,2250000,Glen Park,11
Address: 237 North Lake Merced Hills,2.5,3,2062,830000,Lakeshore,7
Address: 300 Bowdoin Street,1,2,1100,751000,Portola,6
Address: 310 Townsend Street #209,2,2,1162,1050000,South of Market,5
Address: 3025 Sacramento Street,6,7,3802,588000,Pacific Heights,15
Address: 350 Broderick Street #302,1,1,672,695000,North Panhandle,4
Address: 300 Ivy Street #215,2,2,1010,967000,Hayes Valley,4
Address: 355 1st Street #S810,1,1,675,740000,South Beach,3
Address: 249 Shipley Street #IT2,1.5,1,892,695000,South of Market,3
Address: 249 Shipley Street It2,1.5,1,892,695000,South of Market,3
Address: 219 Brannan Street #12A,1.5,1,808,995000,South Beach,3
Address: 88 King Street #1322,2,3,1369,1800000,South Beach,6
Address: 750 2nd Street #401,2,2,1591,1935000,South Beach,5
Address: 960 Bush Street #113,1,1,550,407500,Downtown,4
Address: 2363 Larkin Street #4,1,1,663,560000,Russian Hill,3
Address: 900 Bush Street #517,2,2,831,620000,Downtown,5
Address: 400 Alemany Boulevard #8,2,2,866,450000,Bernal Heights,5
Address: 148 Elsie Street,1,1,700,810000,Bernal Heights,5
Address: 334 Holladay Avenue,2,3,1275,760000,Bernal Heights,6
Address: 4107 A Folsom Street,1,2,822,795000,Bernal Heights,4
Address: 2209 Bryant Street,1,3,1212,1100000,Mission,5
Address: 132 Brewster Street,2.5,4,1932,1250000,Bernal Heights,7
Address: 3135 24th Street #6,3,3,1878,1589000,Mission,6
Address: 3135 24th Street #4,3,3,1908,1710000,Mission,6
Address: 555 Paris Street,1,2,1200,680000,Excelsior,5
Address: 180 Laura Street,2,3,1355,725000,Outer Mission,6
Address: 2586 San Jose Avenue,1,2,900,895000,Ingleside,13
Address: 55 Homestead Street,1,2,708,950000,Noe Valley,5
Address: 2206 38th Avenue,1,3,1300,800000,Outer Parkside,6
Address: 2001 McAllister Street #238,1,1,681,630000,North Panhandle,3
Address: 1455 41st Avenue,1,2,1250,823500,Outer Sunset,5
Address: 2367 Bay Street #A,1,1,418,555000,Marina,2
Address: 2746 Gough Street #2,2,2,1352,1195000,Cow Hollow,6
Address: 3223 Jennings Street,2,3,2355,601000,Bayview,7
Address: 319 Thornton Avenue,5,7,3000,873000,Silver Terrace,7
Address: 5320 Diamond Heights Boulevard #308J,1,1,682,475000,Diamond Heights,3
Address: 206 Silliman Street,2.5,5,1500,670000,Portola,7
Address: 155 Harriet Street #5,2,2,981,704000,South of Market,4
Address: 260 King Street #801,1,1,900,750000,South of Market,3
Address: 601 4th Street #321,1,1,1502,1400000,South of Market,4
Address: 66 Cleary Court #703,2,3,1102,735000,Western Addition,5
Address: 151 Alice B Toklas Place #512,2,2,1856,1400000,Van Ness - Civic Center,3
Address: 415 Amazon Avenue,1,2,1155,630000,Excelsior,5
Address: 109 Ottawa Avenue,1,2,1220,723000,Outer Mission,5
Address: 60 Danvers Street,3,5,2732,1059000,Corona Heights,12
Address: 2001 McAllister Street #118,2,2,1200,926000,North Panhandle,4
Address: 130 21st Avenue,2.5,4,2362,2375000,Lake,7
Address: 145 Elmira Street,2,4,2100,715000,Silver Terrace,8
Address: 688 Teresita Boulevard,1,2,1288,837000,Miraloma Park,6
Address: 45 Dellbrook Avenue,2,3,1275,1001000,Midtown Terrace,6
Address: 223 Monterey Boulevard,4,4,2800,1449500,Sunnyside,6
Address: 8400 Oceanview Terrace #111,1,1,669,390000,Ingleside Heights,3
Address: 300 Berry Street #710,1,2,970,950000,South of Market,4
Address: 421 Tehama Street,2.5,3,5279,3102000,South of Market,10
Address: 66 Cleary Court #1009,2,3,1102,610000,Western Addition,5
Address: 2200 Mariposa Street,2,4,2175,1400000,Mission,6
Address: 155 Hancock Street #2,1,2,868,940000,Eureka Valley - Dolores Heights - Castro,4
Address: 2172 16th Avenue,1,2,1325,952000,Inner Parkside,5
Address: 2143 39th Avenue,2,3,2200,1100000,Outer Parkside,6
Address: 563 18th Avenue,3,5,2360,1295000,Central Richmond,9
Address: 526 Hugo Street,2,5,2612,2100000,Inner Sunset,10
Address: 3319 Divisadero Street,1.5,2,1386,1550000,Marina,5
Address: 630 27th Street,3,4,890,3775000,Noe Valley,10
Address: 900 Bush Street #801,2,2,1360,540000,Downtown,4
Address: 1268 Lombard Street #3,2,3,1770,2595000,Russian Hill,6
Address: 449 Gates Street,1,1,963,700000,Bernal Heights,5
Address: 142 A 27th Street #2,1,2,1306,1125000,Noe Valley,4
Address: 280 Gates Street,1,3,1150,1225000,Bernal Heights,7
Address: 237 Bocana Street,2,3,1612,1550000,Bernal Heights,7
Address: 34 Rhine Street,2,3,1360,1005000,Outer Mission,5
Address: 84 Minerva Street,1,2,1053,630000,Oceanview,5
Address: 54 Eastwood Drive,3,5,2548,1098000,Westwood Park,5
Address: 556 Elizabeth Street,3.5,4,2547,2500000,Noe Valley,8
Address: 2371 17th Avenue,1,3,1000,700000,Inner Parkside,4
Address: 1925 Vicente Street,2.5,3,1285,910000,Parkside,6
Address: 2172 Fell Street,2,3,1534,1534500,North Panhandle,5
Address: 4508 Balboa Street,1,3,2000,1122000,Outer Richmond,7
Address: 126 Bridgeview Drive,2,3,1404,705000,Silver Terrace,6
Address: 801 27th Street,3,4,2436,2200000,Diamond Heights,8
Address: 263 Byxbee Street,2,3,1666,885000,Merced Heights,8
Address: 601 Van Ness Avenue #26,2,2,1030,760000,Van Ness - Civic Center,5
Address: 370 7th Street #12,2.5,2,2231,985000,South of Market,4
Address: 425 1st Street #2606,2,2,1238,1400000,South Beach,4
Address: 250 King Street #422,2,2,1126,1000500,South of Market,4
Address: 396 Connecticut Street,1,3,1282,1252500,Potrero Hill,5
Address: 10 South Park Street #1,2,1,1100,1269000,South Beach,2
Address: 1080 Sutter Street #202,2,3,1330,917500,Downtown,4
Address: 1066 Francisco Street,4,4,2414,3300000,Russian Hill,8
Address: 217 Ellsworth Street,2,3,1572,1450000,Bernal Heights,7
Address: 1762 Alemany Boulevard,1,2,1525,762000,Mission Terrace,6
Address: 2999 California Street #605,1,1,615,500000,Lower Pacific Heights,2
Address: 917 Central Avenue,4,4,2664,1700000,North Panhandle,7
Address: 1849 Lyon Street,3,4,1973,2000000,Pacific Heights,10
Address: 2924 Rivera Street,1,2,1012,785000,Outer Parkside,5
Address: 2527 16th Avenue,2,4,1900,1334500,Inner Parkside,9
Address: 931 Stanyan Street,1.5,3,1528,1220000,Haight-Ashbury,7
Address: 457 Broderick Street,3.5,6,2798,2100000,North Panhandle,19
Address: 710 Cole Street,3,4,2854,2699000,Haight-Ashbury,7
Address: 754 41st Avenue,1,2,1200,901000,Outer Richmond,5
Address: 1845 Judah Street,1,2,800,690000,Central Sunset,4
Address: 1529 11th Avenue,4,6,3200,770000,Inner Sunset,12
Address: 1807 20th Avenue,2,2,1480,830000,Central Sunset,6
Address: 70 Arroyo Way,1,2,1293,975000,Miraloma Park,5
Address: 545 Valley Street,3.5,4,2670,2458000,Noe Valley,11
Address: 2316 Leavenworth Street,2.25,4,2400,2500000,Russian Hill,11
Address: 332 Arkansas Street,2,2,988,975000,Potrero Hill,4
Address: 73 Majestic Avenue,2,3,1425,535000,Ingleside,6
Address: 80 Williar Avenue,1,2,1112,575000,Ingleside,5
Address: 527 Central Avenue #2,1,1,757,770000,North Panhandle,4
Address: 101 Thornton Avenue,1,3,1175,350000,Bayview,5
Address: 918 Teresita Boulevard,2,2,1153,975000,Miraloma Park,5
Address: 357 Franconia Street,2,3,1300,1480000,Bernal Heights,7
Address: 714 Castro Street,3,4,2600,2300000,Eureka Valley - Dolores Heights - Castro,10
Address: 2775 Clay Street,4.5,5,3645,5650000,Pacific Heights,10
Address: 6038 California Street #1,1,2,708,620000,Lake,5
Address: 547 35th Avenue,4,4,2225,1620000,Outer Richmond,6
Address: 657 44th Avenue,2,4,2198,1115000,Outer Richmond,9
Address: 2722 Irving Street,2,3,2100,1175000,Central Sunset,6
Address: 1483 Sutter Street #1204,2,2,1316,900000,Van Ness - Civic Center,5
Address: 102 Anderson Street,2,2,900,1105000,Bernal Heights,6
Address: 1080 Church Street,2,2,885,975000,Eureka Valley - Dolores Heights - Castro,4
Address: 4194 17th Street,2,2,2420,1400000,Corona Heights,9
Address: 1834 Broderick Street,3,4,2450,1680000,Lower Pacific Heights,7
Address: 2482 17th Avenue,2,2,1650,630000,Inner Parkside,6
Address: 2154 20th Avenue,1,3,1654,1450000,Parkside,6
Address: 2144 Hayes Street,1,3,2295,950000,North Panhandle,7
Address: 162 Clifford Terrace,2.5,3,1614,1650000,Parnassus - Ashbury,9
Address: 795 8th Avenue #406,1,1,672,575000,Inner Richmond,3
Address: 3561 Sacramento Street,2,3,3218,3195000,Presidio Heights,6
Address: 658 43rd Avenue,1,2,1605,1005000,Outer Richmond,7
Address: 2447 Vallejo Street #3,1,2,1325,1230000,Pacific Heights,6
Address: 160 Encline Court,3,4,2400,1285000,Miraloma Park,7
Address: 140 Hernandez Avenue,3,2,2066,2050000,Forest Hill Extension,6
Address: 2563 Diamond Street,2,3,1885,1895000,Glen Park,6
Address: 375 Arlington Street,2,3,1440,1085000,Glen Park,8
Address: 167 Stillings Avenue,2,3,1782,1600000,Miraloma Park,6
Address: 285 Arch Street,1,2,1000,596500,Ingleside Heights,4
Address: 382 Union Street,3,7,3375,2000000,Telegraph Hill,14
Address: 50 Burr Avenue,3,4,1728,475000,Visitacion Valley,7
Address: 162 Tioga Avenue,1,2,872,585000,Visitacion Valley,4
Address: 300 Ivy Street #201,1,1,658,687000,Hayes Valley,3
Address: 1 Clarence Place #10,2,2,1400,1425000,South Beach,5
Address: 200 Niagara Avenue,1,2,900,450000,Outer Mission,5
Address: 2681 Sutter Street,1,2,1050,715000,Lower Pacific Heights,4
Address: 1250 Eucalyptus Drive,2,3,1660,1075000,Lakeshore,6
Address: 1312 Jessie Street,4,4,1650,1500000,South of Market,8
Address: 2250 24th Street #331,1,2,809,571000,Potrero Hill,4
Address: 1080 Sutter Street #1001,2,3,1273,1450000,Downtown,4
Address: 1703 Octavia Street,3.5,5,3350,3253000,Lower Pacific Heights,10
Address: 550 South Van Ness Avenue #304,1,1,734,587500,Mission,3
Address: 2130 Harrison Street #22,1.5,1,1241,945000,Mission,2
Address: 68 Williar Avenue,1,2,1112,640000,Ingleside,5
Address: 921 Alvarado Street,4,6,2964,2150000,Noe Valley,6
Address: 2401 Jackson Street #1,2,2,1375,750000,Pacific Heights,5
Address: 620 Haight Street,2,3,1827,1430000,Hayes Valley,7
Address: 677 5th Avenue,1,3,1234,1011000,Inner Richmond,5
Address: 647 39th Avenue,2,5,1468,666500,Outer Richmond,5
Address: 2929 Broderick Street,1,2,1192,1410000,Cow Hollow,6
Address: 2322 Francisco Street,2.5,2,1611,1725000,Marina,5
Address: 560 Gellert Drive,3,5,2655,1520000,Lakeshore,9
Address: 411 Vallejo Street,1,3,1240,1125000,Telegraph Hill,6
Address: 150 Stoneridge Lane #106,2,2,1068,442000,Crocker Amazon,5
Address: 1170 Sacramento Street #3C,1.5,1,2052,2270000,Nob Hill,4
Address: 3135 24th Street #2,2,2,926,825000,Mission,5
Address: 3135 24th Street #1,2,2,1065,935000,Mission,5
Address: 117 Frederick Street #A,1,1,923,935000,Parnassus - Ashbury,4
Address: 15 Almaden Court,1,2,1302,1250000,Lone Mountain,5
Address: 1250 42nd Avenue,1,3,1170,625000,Outer Sunset,6
Address: 1155 Palou Avenue,2,3,1212,500000,Bayview,5
Address: 401 Bella Vista Way,2,3,1299,1020000,Miraloma Park,6
Address: 95 Keystone Way,3,4,1941,1242500,Mount Davidson Manor,8
Address: 300 Ivy Street #305,1,1,624,14000,Hayes Valley,3
Address: 300 Ivy Street #104,2,2,1208,1249000,Hayes Valley,4
Address: 829 Rhode Island Street,3,3,2600,2940000,Potrero Hill,8
Address: 1998 Broadway #706,2,2,1170,1126125,Pacific Heights,5
Address: 39 Montana Street,2,4,1155,536000,Oceanview,6
Address: 50 Seville Street,2,2,2333,725000,Crocker Amazon,8
Address: 176 6th Avenue,6,8,3862,1700000,Lake,15
Address: 1335 31st Avenue,2,2,1500,1000000,Central Sunset,6
Address: 166 Eucalyptus Drive,2.5,3,1490,125000,Lakeside,8
Address: 300 Ivy Street #307,2,2,916,337500,Hayes Valley,4
Address: 888 7th Street #202,1,1,503,490000,South of Market,4
Address: 555 4th Street #825,1,1,563,650000,South of Market,4
Address: 2090 Pacific Avenue #702,1,1,1501,1290000,Pacific Heights,4
Address: 152 Lombard Street #506,1,1,800,675000,North Waterfront,3
Address: 2034 Baker Street,2,3,1945,1735000,Pacific Heights,8
Address: 2106 Scott Street #C,2,3,2045,1850000,Pacific Heights,5
Address: 3100 Rivera Street,1,2,1137,820000,Outer Parkside,5
Address: 145 Gardenside Drive #5,1.5,2,1007,811000,Twin Peaks,4
Address: 8300 Oceanview Terrace #312,1,1,667,410000,Ingleside Heights,3
Address: 333 1st Street #1201,2,2,958,1120000,South Beach,4
Address: 1080 Sutter Street #804,2,3,1226,996000,Downtown,4
Address: 795 Dolores Street,2,3,1161,1350000,Mission,5
Address: 279 San Carlos Street,2,3,1951,2150000,Mission,7
Address: 3038 Pacheco Street,1,2,1080,467000,Parkside,5
Address: 664 Teresita Boulevard,1,2,1050,891000,Miraloma Park,5
Address: 300 Ivy Street #513,1,1,677,723000,Hayes Valley,3
Address: 300 Ivy Street #511,1,1,692,737000,Hayes Valley,3
Address: 140 South Van Ness Avenue #343,1.5,1,830,550000,South of Market,3
Address: 1160 Mission Street #2103,1,1,629,605000,South of Market,3
Address: 360 Guerrero Street #404,1,1,822,780000,Mission,3
Address: 355 1st Street #S305,1,1,675,607500,South Beach,3
Address: 501 Beale Street #15A,2.5,2,1469,1850000,South Beach,4
Address: 1013 Rhode Island Street,2,2,2120,1410000,Potrero Hill,7
Address: 219 Brannan Street #16D,2,2,1347,2100000,South Beach,4
Address: 1080 Sutter Street #1003,1,2,753,770000,Downtown,4
Address: 1080 Sutter Street #601,2,3,1226,975000,Downtown,4
Address: 795 Sutter Street #401,2,3,1852,1365000,Downtown,6
Address: 24 Bennington Street,2,4,1750,1510000,Bernal Heights,9
Address: 242 Winding Way,1,3,1300,655500,Crocker Amazon,6
Address: 2267 29th Avenue,1,2,1190,1390000,Parkside,5
Address: 783 22nd Avenue,3.5,4,1780,1200000,Central Richmond,8
Address: 3825 Scott Street #204,1,1,526,600000,Marina,2
Address: 2134 Green Street #3,1,2,1165,999000,Cow Hollow,6
Address: 2920 Franklin Street,2,2,1160,1588000,Marina,5
Address: 5160 Diamond Heights Boulevard #102C,1,1,744,475000,Diamond Heights,3
Address: 881 Corbett Avenue #3,3.5,3,2545,1629500,Twin Peaks,6
Address: 501 Crescent Way #5210,2,2,872,450000,Bayview,4
Address: 300 Berry Street #706,1,1,693,700000,South of Market,3
Address: 300 Ivy Street #301,1,1,682,709000,Hayes Valley,3
Address: 300 Ivy Street #102,2,2,1210,1167000,Hayes Valley,4
Address: 74 New Montgomery Street #702,2,2,1069,1410000,Yerba Buena,4
Address: 239 Brannan Street,2,2,1516,1555000,South Beach,5
Address: 260 King Street #1503,2,2,1286,1250000,South of Market,4
Address: 41 Vienna Street,1,2,800,530000,Excelsior,4
Address: 107 24th Avenue,5,4,4820,5500000,Lake,10
Address: 1861 19th Avenue,2,4,2012,670000,Central Sunset,8
Address: 2009 Revere Avenue,1,3,910,515000,Silver Terrace,4
Address: 2165 Revere Avenue,1.5,3,1125,1040000,Silver Terrace,5
Address: 300 Ivy Street #405,1,1,624,665000,Hayes Valley,3
Address: 300 Ivy Street #311,1,1,692,689000,Hayes Valley,3
Address: 300 Ivy Street #411,1,1,692,709500,Hayes Valley,3
Address: 300 Ivy Street #401,1,1,682,719500,Hayes Valley,3
Address: 300 Ivy Street #503,1,1,627,740500,Hayes Valley,3
Address: 300 Ivy Street #124,2,3,1596,1545000,Hayes Valley,5
Address: 68 McCoppin Street #3,1,1,696,350000,South of Market,3
Address: 421 Nevada Street,2,3,1200,1050000,Bernal Heights,5
Address: 162 College Avenue,1,2,1205,650000,Bernal Heights,5
Address: 720 Elizabeth Street,1,2,1762,1820000,Noe Valley,5
Address: 436 Masonic Avenue #A,4,1,2860,460000,North Panhandle,13
Address: 131 Congo Street,2,3,1190,870000,Sunnyside,6
Address: 300 Ivy Street #509,2,2,1123,1301000,Hayes Valley,4
Address: 670 Edinburgh Street,2,3,1550,651000,Excelsior,8
Address: 374 Ewing Terrace,1,2,1250,1296000,Lone Mountain,5
Address: 4341 Kirkham Street,4,3,1362,766000,Outer Sunset,6
Address: 1530 44th Avenue,1,2,1640,930000,Outer Sunset,10
Address: 1958 Vallejo Street #11,4.5,4,2734,6000000,Pacific Heights,7
Address: 1922 Palou Avenue,5,3,1540,685000,Silver Terrace,6
Address: 17 Tioga Avenue,1,2,1025,602000,Visitacion Valley,4
Address: 601 Van Ness Avenue #450,1,1,673,521500,Van Ness - Civic Center,3
Address: 17 Curtis Street,1,1,791,615000,Crocker Amazon,7
Address: 139 Madrid Street,2,2,1689,575000,Excelsior,6
Address: 1500 Francisco Street #7,1,1,968,855000,Marina,6
Address: 3336 San Bruno Avenue #101,1,1,712,315500,Visitacion Valley,3
Address: 300 Ivy Street #203,1,1,655,685000,Hayes Valley,3
Address: 300 Ivy Street #404,2,2,938,1087000,Hayes Valley,4
Address: 300 Ivy Street #122,2,3,1596,1527000,Hayes Valley,5
Address: 616 20th Street #420,1,1,770,755000,Central Waterfront - Dogpatch,4
Address: 250 King Street #652,2,3,1653,1225000,South of Market,5
Address: 1080 Sutter Street #703,1,2,750,652000,Downtown,3
Address: 1080 Sutter Street #803,1,3,750,672500,Downtown,4
Address: 1080 Sutter Street #502,2,3,1330,875000,Downtown,5
Address: 1080 Sutter Street #604,2,3,1226,975000,Downtown,4
Address: 1154 Chestnut Street,5,5,3854,4400000,Russian Hill,8
Address: 3380 22nd Street,1,3,1375,1060000,Mission,7
Address: 2594 39th Avenue,2,3,1206,925000,Outer Parkside,5
Address: 2446 17th Avenue,2,3,1175,908000,Inner Parkside,5
Address: 408 Waller Street,1,2,1000,925000,Hayes Valley,5
Address: 340 Cornwall Street,2,2,1359,1300000,Inner Richmond,6
Address: 320 Cornwall Street,2,3,1373,1429000,Inner Richmond,6
Address: 730 Funston Avenue,4,5,5335,3230000,Inner Richmond,16
Address: 858 37th Avenue,3.5,6,3059,1250000,Outer Richmond,12
Address: 1490 7th Avenue,1,3,1950,1220000,Inner Sunset,8
Address: 1062 Ingerson Avenue,2,4,1806,555000,Bayview,8
